GEO_ID,NAME,B05012_001E,B05012_001M,B05012_002E,B05012_002M,B05012_003E,B05012_003M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Native,Margin of Error!!Total!!Native,Estimate!!Total!!Foreign-Born,Margin of Error!!Total!!Foreign-Born
0500000US27033,"Cottonwood County, Minnesota",11372,*****,10718,85,654,85
0500000US27139,"Scott County, Minnesota",143372,*****,130197,795,13175,795
0500000US27039,"Dodge County, Minnesota",20582,*****,20103,84,479,84
0500000US27157,"Wabasha County, Minnesota",21500,*****,21079,84,421,84
0500000US27117,"Pipestone County, Minnesota",9185,*****,8587,185,598,185
0500000US27035,"Crow Wing County, Minnesota",63855,*****,62957,145,898,145
0500000US27107,"Norman County, Minnesota",6559,*****,6438,44,121,44
0500000US27171,"Wright County, Minnesota",132745,*****,129094,629,3651,629
0500000US27103,"Nicollet County, Minnesota",33783,*****,32279,303,1504,303
0500000US27041,"Douglas County, Minnesota",37203,*****,36747,150,456,150
0500000US27051,"Grant County, Minnesota",5938,*****,5867,36,71,36
0500000US27069,"Kittson County, Minnesota",4337,*****,4227,47,110,47
0500000US27079,"Le Sueur County, Minnesota",27983,*****,27195,106,788,106
0500000US27087,"Mahnomen County, Minnesota",5506,*****,5460,14,46,14
0500000US27025,"Chisago County, Minnesota",54727,*****,53781,273,946,273
0500000US27127,"Redwood County, Minnesota",15331,*****,14975,57,356,57
0500000US27173,"Yellow Medicine County, Minnesota",9868,*****,9695,42,173,42
0500000US27153,"Todd County, Minnesota",24440,*****,23606,109,834,109
0500000US27007,"Beltrami County, Minnesota",46117,*****,45325,160,792,160
0500000US27013,"Blue Earth County, Minnesota",66322,*****,63375,290,2947,290
0500000US27055,"Houston County, Minnesota",18663,*****,18463,54,200,54
0500000US27073,"Lac qui Parle County, Minnesota",6773,*****,6595,58,178,58
0500000US27077,"Lake of the Woods County, Minnesota",3809,*****,3759,42,50,42
0500000US27111,"Otter Tail County, Minnesota",57992,*****,56536,188,1456,188
0500000US27161,"Waseca County, Minnesota",18809,*****,18139,120,670,120
0500000US27137,"St. Louis County, Minnesota",200080,*****,195406,418,4674,418
0500000US27003,"Anoka County, Minnesota",347431,*****,317848,1319,29583,1319
0500000US27145,"Stearns County, Minnesota",156819,*****,146192,1056,10627,1056
0500000US27081,"Lincoln County, Minnesota",5707,*****,5669,20,38,20
0500000US27089,"Marshall County, Minnesota",9392,*****,9231,38,161,38
0500000US27095,"Mille Lacs County, Minnesota",25728,*****,25326,76,402,76
0500000US27163,"Washington County, Minnesota",253317,*****,235984,945,17333,945
0500000US27017,"Carlton County, Minnesota",35540,*****,35119,93,421,93
0500000US27065,"Kanabec County, Minnesota",16004,*****,15835,29,169,29
0500000US27071,"Koochiching County, Minnesota",12644,*****,11909,155,735,155
0500000US27125,"Red Lake County, Minnesota",4008,*****,3963,19,45,19
0500000US27097,"Morrison County, Minnesota",32949,*****,32505,78,444,78
0500000US27131,"Rice County, Minnesota",65765,*****,60651,343,5114,343
0500000US27147,"Steele County, Minnesota",36676,*****,35133,230,1543,230
0500000US27001,"Aitkin County, Minnesota",15834,*****,15635,45,199,45
0500000US27043,"Faribault County, Minnesota",13896,*****,13598,71,298,71
0500000US27101,"Murray County, Minnesota",8353,*****,8098,46,255,46
0500000US27067,"Kandiyohi County, Minnesota",42658,*****,39116,478,3542,478
0500000US27075,"Lake County, Minnesota",10569,*****,10365,74,204,74
0500000US27133,"Rock County, Minnesota",9413,*****,9249,48,164,48
0500000US27143,"Sibley County, Minnesota",14912,*****,14100,83,812,83
0500000US27155,"Traverse County, Minnesota",3337,*****,3278,30,59,30
0500000US27005,"Becker County, Minnesota",33773,*****,33251,213,522,213
0500000US27053,"Hennepin County, Minnesota",1235478,*****,1061498,3191,173980,3191
0500000US27015,"Brown County, Minnesota",25211,*****,24718,131,493,131
0500000US27023,"Chippewa County, Minnesota",12010,*****,11319,104,691,104
0500000US27029,"Clearwater County, Minnesota",8812,*****,8717,25,95,25
0500000US27057,"Hubbard County, Minnesota",20862,*****,20568,105,294,105
0500000US27059,"Isanti County, Minnesota",38974,*****,38369,108,605,108
0500000US27091,"Martin County, Minnesota",19964,*****,19733,98,231,98
0500000US27099,"Mower County, Minnesota",39602,*****,35662,364,3940,364
0500000US27115,"Pine County, Minnesota",29129,*****,28709,76,420,76
0500000US27109,"Olmsted County, Minnesota",153065,*****,136349,953,16716,953
0500000US27159,"Wadena County, Minnesota",13646,*****,13537,32,109,32
0500000US27009,"Benton County, Minnesota",39779,*****,38192,271,1587,271
0500000US27047,"Freeborn County, Minnesota",30526,*****,28935,248,1591,248
0500000US27085,"McLeod County, Minnesota",35825,*****,34665,174,1160,174
0500000US27121,"Pope County, Minnesota",10980,*****,10843,40,137,40
0500000US27149,"Stevens County, Minnesota",9784,*****,9281,85,503,85
0500000US27151,"Swift County, Minnesota",9411,*****,9185,77,226,77
0500000US27037,"Dakota County, Minnesota",418201,*****,378358,1352,39843,1352
0500000US27083,"Lyon County, Minnesota",25839,*****,23972,288,1867,288
0500000US27129,"Renville County, Minnesota",14721,*****,14360,71,361,71
0500000US27031,"Cook County, Minnesota",5311,*****,4999,115,312,115
0500000US27093,"Meeker County, Minnesota",23079,*****,22613,92,466,92
0500000US27113,"Pennington County, Minnesota",14184,*****,13866,108,318,108
0500000US27167,"Wilkin County, Minnesota",6343,*****,6303,26,40,26
0500000US27027,"Clay County, Minnesota",62801,*****,60127,378,2674,378
0500000US27045,"Fillmore County, Minnesota",20888,*****,20572,63,316,63
0500000US27119,"Polk County, Minnesota",31591,*****,30554,234,1037,234
0500000US27135,"Roseau County, Minnesota",15462,*****,14873,87,589,87
0500000US27165,"Watonwan County, Minnesota",10973,*****,9593,225,1380,225
0500000US27011,"Big Stone County, Minnesota",5016,*****,4936,24,80,24
0500000US27021,"Cass County, Minnesota",29022,*****,28701,56,321,56
0500000US27049,"Goodhue County, Minnesota",46217,*****,44941,169,1276,169
0500000US27063,"Jackson County, Minnesota",10047,*****,9766,74,281,74
0500000US27105,"Nobles County, Minnesota",21839,*****,17595,321,4244,321
0500000US27141,"Sherburne County, Minnesota",93231,*****,90150,433,3081,433
0500000US27019,"Carver County, Minnesota",100416,*****,95415,531,5001,531
0500000US27061,"Itasca County, Minnesota",45203,*****,44728,99,475,99
0500000US27123,"Ramsey County, Minnesota",541493,*****,457114,1888,84379,1888
0500000US27169,"Winona County, Minnesota",50847,*****,49126,231,1721,231
